src,timestamp,coordination.x,coordination.y
M_MOVE,1669607715.997,1588,1336
M_MOVE,1669607716.005,1586,1336
M_MOVE,1669607716.099,1586,1335
M_MOVE,1669607716.108,1586,1334
M_MOVE,1669607716.117,1585,1332
M_MOVE,1669607716.126,1585,1326
M_MOVE,1669607716.14,1583,1320
M_MOVE,1669607716.144,1579,1306
M_MOVE,1669607716.162,1573,1289
M_MOVE,1669607716.181,1572,1286
M_MOVE,1669607716.184,1570,1283
M_MOVE,1669607716.192,1568,1275
M_MOVE,1669607716.202,1566,1272
M_MOVE,1669607716.21,1566,1269
M_MOVE,1669607716.222,1564,1266
M_MOVE,1669607716.228,1563,1262
M_MOVE,1669607716.236,1562,1259
M_MOVE,1669607716.244,1562,1256
M_MOVE,1669607716.253,1560,1252
M_MOVE,1669607716.261,1560,1249
M_MOVE,1669607716.269,1559,1244
M_MOVE,1669607716.277,1558,1243
M_MOVE,1669607716.29,1558,1238
M_MOVE,1669607716.306,1557,1235
M_MOVE,1669607716.314,1557,1234
M_MOVE,1669607716.322,1557,1233
M_MOVE,1669607716.33,1556,1232
M_MOVE,1669607716.339,1556,1231
M_MOVE,1669607716.347,1556,1229
M_MOVE,1669607716.365,1556,1227
M_MOVE,1669607716.373,1556,1224
M_MOVE,1669607716.382,1555,1223
M_MOVE,1669607716.392,1555,1221
M_MOVE,1669607716.401,1555,1220
M_MOVE,1669607716.411,1554,1218
M_MOVE,1669607716.421,1553,1214
M_MOVE,1669607716.441,1552,1211
M_MOVE,1669607716.45,1550,1207
M_MOVE,1669607716.461,1550,1206
M_MOVE,1669607716.469,1549,1203
M_MOVE,1669607716.478,1548,1202
M_MOVE,1669607716.486,1547,1200
M_MOVE,1669607716.496,1547,1199
M_MOVE,1669607716.513,1547,1198
M_MOVE,1669607716.522,1546,1197
M_MOVE,1669607716.719,1546,1196
M_MOVE,1669607716.733,1546,1195
M_MOVE,1669607716.749,1545,1194
M_MOVE,1669607716.766,1545,1193
M_MOVE,1669607716.783,1545,1192
M_MOVE,1669607716.792,1545,1191
M_MOVE,1669607716.809,1545,1190
M_MOVE,1669607716.834,1544,1190
M_MOVE,1669607716.843,1544,1189
M_MOVE,1669607717.157,1546,1190
M_MOVE,1669607717.165,1552,1194
M_MOVE,1669607717.174,1562,1200
M_MOVE,1669607717.182,1575,1206
M_MOVE,1669607717.19,1602,1215
M_MOVE,1669607717.199,1629,1223
M_MOVE,1669607717.207,1675,1237
M_MOVE,1669607717.215,1718,1246
M_MOVE,1669607717.224,1782,1261
M_MOVE,1669607717.233,1842,1272
M_MOVE,1669607717.242,1908,1284
M_MOVE,1669607717.251,1964,1290
M_MOVE,1669607717.259,2029,1298
M_MOVE,1669607717.268,2136,1311
M_MOVE,1669607717.284,2231,1322
M_MOVE,1669607717.292,2269,1329
M_MOVE,1669607717.3,2309,1338
M_MOVE,1669607717.308,2338,1348
M_MOVE,1669607717.319,2365,1358
M_MOVE,1669607717.326,2387,1368
M_MOVE,1669607717.335,2398,1373
M_MOVE,1669607717.347,2409,1378
M_MOVE,1669607717.354,2418,1381
M_MOVE,1669607717.362,2421,1382
M_MOVE,1669607717.809,2422,1382
M_MOVE,1669607717.817,2423,1382
M_MOVE,1669607717.826,2426,1382
M_MOVE,1669607717.837,2429,1382
M_MOVE,1669607717.845,2434,1382
M_MOVE,1669607717.855,2437,1382
M_MOVE,1669607717.863,2440,1383
M_MOVE,1669607717.871,2443,1383
M_MOVE,1669607717.879,2451,1385
M_MOVE,1669607717.889,2455,1386
M_MOVE,1669607717.899,2458,1386
M_MOVE,1669607717.908,2461,1388
M_MOVE,1669607717.917,2464,1390
M_MOVE,1669607717.925,2468,1392
M_MOVE,1669607717.933,2471,1394
M_MOVE,1669607717.941,2476,1397
M_MOVE,1669607717.95,2479,1399
M_MOVE,1669607717.958,2485,1402
M_MOVE,1669607717.966,2488,1403
M_MOVE,1669607717.975,2496,1407
M_MOVE,1669607717.984,2499,1409
M_MOVE,1669607717.992,2506,1411
M_MOVE,1669607718.001,2511,1413
M_MOVE,1669607718.009,2523,1417
M_MOVE,1669607718.017,2531,1418
M_MOVE,1669607718.025,2536,1419
M_MOVE,1669607718.034,2545,1421
M_MOVE,1669607718.042,2550,1421
M_MOVE,1669607718.052,2558,1422
M_MOVE,1669607718.06,2563,1422
